seed	Volume
0	0.28348
1	0.28888
2	0.30991
3	0.27978
4	0.32146
5	0.31753
6	0.27049
7	0.29106
8	0.2897
9	0.30251
10	0.2984
11	0.31073
12	0.28239
13	0.28739
14	0.28429
15	0.29823
16	0.29735
17	0.28609
18	0.2933
19	0.29659
20	0.27289
21	0.30109
22	0.26892
23	0.28789
24	0.31365
25	0.32239
26	0.2862
27	0.29071
28	0.28051
29	0.29915
30	0.2763
31	0.27736
32	0.27208
33	0.28001
34	0.28664
35	0.30003
36	0.31763
37	0.29307
38	0.26166
39	0.28132
40	0.29673
41	0.30227
42	0.27041
43	0.29034
44	0.30711
45	0.28484
46	0.28804
47	0.28367
48	0.29294
49	0.28096
50	0.31222
51	0.29872
52	0.29954
53	0.2895
54	0.29618
55	0.27908
56	0.2613
57	0.30842
58	0.27354
59	0.29735
60	0.31447
61	0.32123
62	0.29384
63	0.27575
64	0.28556
65	0.30538
66	0.27844
67	0.2766
68	0.30656
69	0.28927
70	0.31048
71	0.30031
72	0.29978
73	0.29551
74	0.2962
75	0.29885
76	0.31481
77	0.29923
78	0.3042
79	0.28929
80	0.28391
81	0.31993
82	0.28344
83	0.30155
84	0.29436
85	0.32148
86	0.2949
87	0.30009
88	0.28666
89	0.29785
90	0.29548
91	0.30432
92	0.26547
93	0.32536
94	0.30551
95	0.27995
96	0.26372
97	0.32632
98	0.28542
99	0.28615
