seed	Area
0	0.688267
1	0.677529
2	0.622293
3	0.67376
4	0.756178
5	0.645244
6	0.596142
7	0.551733
8	0.695733
9	0.71552
10	0.703396
11	0.702489
12	0.676924
13	0.61936
14	0.638862
15	0.600391
16	0.641493
17	0.633689
18	0.731253
19	0.630009
20	0.689849
21	0.722009
22	0.708764
23	0.622649
24	0.673956
25	0.677653
26	0.647022
27	0.741582
28	0.693582
29	0.629653
30	0.685351
31	0.637671
32	0.64224
33	0.639378
34	0.710258
35	0.67632
36	0.631449
37	0.646151
38	0.745422
39	0.68272
40	0.62608
41	0.626364
42	0.692693
43	0.695502
44	0.636818
45	0.693049
46	0.650436
47	0.663556
48	0.735698
49	0.803342
50	0.734382
51	0.721636
52	0.702293
53	0.695111
54	0.708196
55	0.682453
56	0.64016
57	0.617938
58	0.702169
59	0.603769
60	0.655307
61	0.683431
62	0.61696
63	0.626738
64	0.689209
65	0.562969
66	0.681031
67	0.720711
68	0.685191
69	0.681191
70	0.735449
71	0.663573
72	0.668444
73	0.563573
74	0.687164
75	0.699556
76	0.761564
77	0.756853
78	0.695502
79	0.63264
80	0.694471
81	0.680018
82	0.725796
83	0.69392
84	0.678418
85	0.626827
86	0.695609
87	0.695342
88	0.784373
89	0.68208
90	0.708196
91	0.64832
92	0.631449
93	0.696871
94	0.736178
95	0.687129
96	0.641156
97	0.732391
98	0.772924
99	0.761547
100	0.588782
101	0.7264
102	0.711271
103	0.606631
104	0.616942
105	0.618276
106	0.581547
107	0.629529
108	0.532213
109	0.689547
110	0.606276
111	0.675502
112	0.677813
113	0.749049
114	0.737618
115	0.709049
116	0.702951
117	0.666827
118	0.704373
119	0.730862
120	0.6056
121	0.660036
122	0.710204
123	0.668978
124	0.74384
125	0.756107
126	0.555467
127	0.599822
128	0.651413
129	0.696142
130	0.637227
131	0.754596
132	0.601173
133	0.702613
134	0.730489
135	0.605262
136	0.719484
137	0.647627
138	0.734791
139	0.703822
140	0.607893
141	0.672498
142	0.665369
143	0.608391
144	0.643591
145	0.704942
146	0.747147
147	0.58176
148	0.616053
149	0.726436
150	0.635271
151	0.652871
152	0.774364
153	0.69056
154	0.711164
155	0.719876
156	0.636196
157	0.683271
