seed	Volume
0	0.311111
1	0.317111
2	0.31221
3	0.310444
4	0.329198
5	0.31279
6	0.260852
7	0.276556
8	0.303556
9	0.311827
10	0.292407
11	0.309395
12	0.321938
13	0.248605
14	0.306605
15	0.316432
16	0.306099
17	0.279494
18	0.282025
19	0.320852
20	0.28984
21	0.306259
22	0.308346
23	0.288901
24	0.294432
25	0.309012
26	0.308099
27	0.274346
28	0.287802
29	0.273741
30	0.278642
31	0.294012
32	0.302654
33	0.29058
34	0.271481
35	0.290543
36	0.264741
37	0.298926
38	0.286358
39	0.283827
40	0.317667
41	0.313148
42	0.28084
43	0.288247
44	0.276938
45	0.290802
46	0.305691
47	0.300519
48	0.307457
49	0.291531
50	0.287802
51	0.295815
52	0.265827
53	0.298037
54	0.295136
55	0.312605
56	0.284309
57	0.28384
58	0.238975
59	0.284321
60	0.321457
61	0.293741
62	0.272383
63	0.297889
64	0.294432
65	0.286012
66	0.296494
67	0.268741
68	0.303049
69	0.293247
70	0.318938
71	0.313679
72	0.256914
73	0.300099
74	0.294481
75	0.308457
76	0.301704
77	0.262173
78	0.292691
79	0.302025
80	0.27721
81	0.283123
82	0.306556
83	0.289963
84	0.274506
85	0.309123
86	0.331259
87	0.27663
88	0.30084
89	0.269531
90	0.282975
91	0.274395
92	0.328185
93	0.314235
94	0.30279
95	0.297914
96	0.312185
97	0.313296
98	0.295148
99	0.280728
100	0.307358
101	0.305765
102	0.298506
103	0.293148
104	0.292914
105	0.285296
106	0.295778
107	0.286728
108	0.26979
109	0.279679
110	0.328272
111	0.300148
112	0.291914
113	0.297272
114	0.302259
115	0.286198
116	0.297457
117	0.293099
118	0.287765
119	0.315469
120	0.306457
121	0.307432
122	0.30821
123	0.32
124	0.296728
125	0.285432
126	0.302914
127	0.308556
128	0.281975
129	0.306679
130	0.308284
131	0.299173
132	0.267444
133	0.290963
134	0.269481
135	0.310123
136	0.312889
137	0.324938
138	0.236914
139	0.301481
140	0.307778
141	0.286827
142	0.32216
143	0.30716
144	0.280556
145	0.317481
146	0.283914
147	0.263148
148	0.290667
149	0.27979
150	0.299617
151	0.28142
152	0.289519
153	0.302395
154	0.260235
155	0.272148
156	0.27758
157	0.301333
158	0.295395
159	0.319444
160	0.317691
161	0.306284
162	0.278284
163	0.325519
164	0.265037
165	0.308407
166	0.295321
167	0.318346
168	0.280481
169	0.302679
170	0.312309
171	0.308531
172	0.295753
173	0.296556
174	0.308741
175	0.292679
176	0.315321
177	0.300259
178	0.237321
179	0.278272
180	0.331099
181	0.292074
182	0.266198
183	0.303519
184	0.294333
185	0.296506
186	0.271556
187	0.260148
188	0.300556
189	0.313506
190	0.306074
191	0.309346
192	0.289432
193	0.281074
194	0.319259
195	0.291012
196	0.280716
197	0.282173
198	0.296605
199	0.282914
200	0.289617
201	0.285827
202	0.283086
203	0.27663
204	0.305679
205	0.259012
206	0.279296
207	0.287383
208	0.281086
209	0.316988
210	0.314444
211	0.320321
212	0.280481
213	0.319988
214	0.293642
215	0.295432
216	0.251864
217	0.312543
218	0.287938
219	0.296346
220	0.308235
221	0.33
222	0.298494
223	0.245358
224	0.318037
225	0.311383
226	0.288889
227	0.278593
228	0.282037
229	0.288025
230	0.301753
231	0.309025
232	0.293827
233	0.299
234	0.290136
235	0.30637
236	0.309074
237	0.273469
238	0.299444
239	0.295765
240	0.28116
241	0.251086
242	0.26484
243	0.306333
244	0.269222
245	0.318099
246	0.308988
247	0.308679
248	0.293963
249	0.308358
250	0.310457
251	0.306025
252	0.289938
253	0.299407
254	0.263432
255	0.301395
256	0.288667
257	0.267988
258	0.292222
259	0.318593
260	0.266506
261	0.308827
262	0.270469
263	0.284494
264	0.287481
265	0.262099
266	0.289296
267	0.295284
268	0.283062
269	0.288494
270	0.265025
271	0.288556
272	0.29358
273	0.307025
274	0.295296
275	0.291049
276	0.270309
277	0.283123
278	0.282642
279	0.271704
280	0.244988
281	0.284272
282	0.307852
283	0.275321
284	0.294556
285	0.306173
286	0.314247
287	0.297753
288	0.28842
289	0.31716
290	0.312037
291	0.25579
292	0.311815
293	0.271901
294	0.302716
295	0.309395
296	0.328321
297	0.308593
298	0.274938
299	0.272975
