seed	Volume
0	0.271111
1	0.371457
2	0.311457
3	0.367012
4	0.276395
5	0.333531
6	0.398716
7	0.307407
8	0.346519
9	0.260296
10	0.316741
11	0.267506
12	0.298222
13	0.27363
14	0.291111
15	0.345333
16	0.330815
17	0.282864
18	0.299358
19	0.286765
20	0.322864
21	0.28084
22	0.317284
23	0.344593
24	0.249333
25	0.310519
26	0.36079
27	0.323852
28	0.262914
29	0.361827
30	0.324494
31	0.24879
32	0.282815
33	0.326765
34	0.29521
35	0.340296
36	0.255802
37	0.334469
38	0.309185
39	0.31121
40	0.297877
41	0.325037
42	0.288198
43	0.267852
44	0.303358
45	0.304247
46	0.36
47	0.325877
48	0.349086
49	0.28237
50	0.29279
51	0.280938
52	0.247654
53	0.310222
54	0.286617
55	0.332444
56	0.325728
57	0.338272
58	0.332395
59	0.291111
60	0.313728
61	0.307457
62	0.363407
63	0.288494
64	0.299407
65	0.261037
66	0.267358
67	0.342568
68	0.293926
69	0.248148
70	0.308247
71	0.273383
72	0.29679
73	0.296593
74	0.291457
75	0.332198
76	0.311852
77	0.333136
78	0.344247
79	0.302272
80	0.199605
81	0.349136
82	0.335259
83	0.372296
84	0.283852
85	0.333481
86	0.353926
87	0.304543
88	0.342025
89	0.340691
90	0.300741
91	0.261531
92	0.294617
93	0.33279
94	0.211111
95	0.297432
96	0.337975
97	0.296889
98	0.283358
99	0.329827
