seed	Volume
0	0.295203
1	0.309016
2	0.254437
3	0.306172
4	0.331125
5	0.298891
6	0.255609
7	0.279219
8	0.321047
9	0.289922
10	0.298469
11	0.294375
12	0.279594
13	0.269297
14	0.327094
15	0.291094
16	0.298281
17	0.291516
18	0.277422
19	0.257859
20	0.295547
21	0.313031
22	0.280547
23	0.306422
24	0.284609
25	0.305703
26	0.315297
27	0.275359
28	0.308594
29	0.225281
30	0.322203
31	0.273984
32	0.252188
33	0.267719
34	0.268953
35	0.26625
36	0.268937
37	0.264125
38	0.276984
39	0.308219
40	0.305812
41	0.302547
42	0.295922
43	0.310781
44	0.253156
45	0.291375
46	0.312953
47	0.254531
48	0.281313
49	0.305516
50	0.309063
51	0.305578
52	0.316141
53	0.287828
54	0.280719
55	0.288031
56	0.296563
57	0.311328
58	0.263953
59	0.300063
60	0.299844
61	0.337109
62	0.278672
63	0.281609
64	0.26775
65	0.301094
66	0.319812
67	0.299594
68	0.291922
69	0.300703
70	0.261172
71	0.326328
72	0.309563
73	0.253156
74	0.308391
75	0.290297
76	0.305844
77	0.293109
78	0.293016
79	0.269672
80	0.304422
81	0.310344
82	0.282562
83	0.297563
84	0.288984
85	0.296969
86	0.305828
87	0.278719
88	0.301984
89	0.285703
90	0.291687
91	0.298594
92	0.271391
93	0.291938
94	0.302969
95	0.292359
96	0.271922
97	0.300219
98	0.318656
99	0.291703
200	0.310969
201	0.31225
202	0.317047
203	0.316766
204	0.305188
205	0.277891
206	0.281047
207	0.295953
208	0.274797
209	0.306109
210	0.308063
211	0.297516
212	0.267484
213	0.304828
214	0.289953
215	0.286516
216	0.271891
217	0.275609
218	0.308875
219	0.301438
220	0.270781
221	0.27525
222	0.304781
223	0.278172
224	0.293969
225	0.296922
226	0.316
227	0.276625
228	0.304797
229	0.308594
230	0.302469
231	0.259281
232	0.295344
233	0.313844
234	0.320094
235	0.312094
236	0.301406
237	0.267703
238	0.32675
239	0.320813
240	0.279734
241	0.303406
242	0.320813
243	0.294047
244	0.286641
245	0.308078
246	0.285375
247	0.302625
248	0.270125
249	0.313937
250	0.285625
251	0.298266
252	0.317141
253	0.300328
254	0.296594
255	0.258
256	0.279359
257	0.267578
258	0.303
259	0.269313
260	0.263906
261	0.332328
262	0.282609
263	0.318563
264	0.281578
265	0.31175
266	0.300094
267	0.281547
268	0.290031
269	0.262109
270	0.308516
271	0.276109
272	0.299187
273	0.298641
274	0.299594
275	0.307922
276	0.315063
277	0.295
278	0.276266
279	0.300297
280	0.320219
281	0.283469
282	0.285859
283	0.296938
284	0.296687
285	0.299656
286	0.315453
287	0.287719
288	0.283422
289	0.308594
290	0.289141
291	0.286969
292	0.306078
293	0.299375
294	0.290984
295	0.302844
296	0.319984
297	0.32475
298	0.283109
299	0.296422
