seed	Volume
0	0.30292
1	0.31336
2	0.30212
3	0.29636
4	0.33104
5	0.29604
6	0.33476
7	0.30956
8	0.26976
9	0.28956
10	0.3608
11	0.275
12	0.34608
13	0.24712
14	0.30928
15	0.27708
16	0.31992
17	0.23904
18	0.24688
19	0.32052
20	0.30452
21	0.26028
22	0.32672
23	0.34456
24	0.32444
25	0.28464
26	0.28192
27	0.321
28	0.32104
29	0.30736
30	0.26676
31	0.30268
32	0.3528
33	0.3106
34	0.28352
35	0.29992
36	0.23144
37	0.28988
38	0.29092
39	0.30216
40	0.2894
41	0.30048
42	0.3512
43	0.23584
44	0.30956
45	0.31716
46	0.27832
47	0.30772
48	0.2868
49	0.2476
50	0.29908
51	0.32044
52	0.29772
53	0.36336
54	0.22548
55	0.31664
56	0.28348
57	0.3312
58	0.25508
59	0.2938
60	0.27524
61	0.32548
62	0.31952
63	0.3048
64	0.29176
65	0.308
66	0.32784
67	0.33128
68	0.29408
69	0.32736
70	0.29236
71	0.26568
72	0.2894
73	0.26624
74	0.27612
75	0.36272
76	0.271
77	0.30548
78	0.37964
79	0.3216
80	0.30012
81	0.33692
82	0.31476
83	0.31436
84	0.28368
85	0.29316
86	0.27964
87	0.34272
88	0.28732
89	0.27224
90	0.26056
91	0.30544
92	0.27008
93	0.29932
94	0.33744
95	0.28596
96	0.33288
97	0.31864
98	0.28628
99	0.28664
