seed	Volume
0	0.30859
1	0.294542
2	0.281917
3	0.276778
4	0.296535
5	0.271278
6	0.295035
7	0.29059
8	0.290514
9	0.304458
10	0.293764
11	0.299063
12	0.277028
13	0.291049
14	0.281347
15	0.277438
16	0.298785
17	0.276465
18	0.298187
19	0.296215
20	0.269882
21	0.274118
22	0.302958
23	0.29241
24	0.315222
25	0.312285
26	0.289792
27	0.297639
28	0.277535
29	0.314208
30	0.271688
31	0.295444
32	0.300403
33	0.305299
34	0.287361
35	0.305993
36	0.272062
37	0.272382
38	0.289132
39	0.30025
40	0.293785
41	0.292583
42	0.298972
43	0.28725
44	0.260826
45	0.278972
46	0.278326
47	0.29584
48	0.305799
49	0.281187
50	0.291611
51	0.302972
52	0.28309
53	0.302438
54	0.283396
55	0.308993
56	0.279444
57	0.286965
58	0.289368
59	0.27909
60	0.302674
61	0.252681
62	0.271472
63	0.278222
64	0.298549
65	0.307243
66	0.305507
67	0.26884
68	0.273889
69	0.303625
70	0.298194
71	0.288771
72	0.310097
73	0.273139
74	0.296847
75	0.300847
76	0.287583
77	0.282451
78	0.313965
79	0.286285
80	0.293333
81	0.289035
82	0.296042
83	0.308868
84	0.281174
85	0.287507
86	0.284917
87	0.282486
88	0.299201
89	0.287451
90	0.291597
91	0.309299
92	0.312847
93	0.311993
94	0.279257
95	0.290639
96	0.292076
97	0.314847
98	0.283486
99	0.292243
