seed	Volume
0	0.30325
1	0.310556
2	0.348639
3	0.306472
4	0.288056
5	0.332778
6	0.291278
7	0.287944
8	0.318056
9	0.320306
10	0.325222
11	0.271167
12	0.286472
13	0.296083
14	0.307194
15	0.286944
16	0.308056
17	0.27225
18	0.302111
19	0.284528
20	0.265611
21	0.309944
22	0.2915
23	0.307333
24	0.312222
25	0.288556
26	0.294528
27	0.29725
28	0.331667
29	0.310222
30	0.289139
31	0.221167
32	0.307833
33	0.293389
34	0.301972
35	0.270111
36	0.266361
37	0.319583
38	0.274278
39	0.31075
40	0.309194
41	0.307556
42	0.337306
43	0.3165
44	0.317444
45	0.275528
46	0.255278
47	0.3115
48	0.3185
49	0.275028
50	0.360889
51	0.27575
52	0.223861
53	0.280833
54	0.315167
55	0.31975
56	0.296778
57	0.311778
58	0.263639
59	0.306611
60	0.356167
61	0.336361
62	0.26425
63	0.319194
64	0.356111
65	0.300778
66	0.274222
67	0.310944
68	0.317028
69	0.351944
70	0.29075
71	0.291278
72	0.319417
73	0.264333
74	0.317861
75	0.281639
76	0.303861
77	0.236583
78	0.301667
79	0.289139
80	0.265111
81	0.326222
82	0.283361
83	0.294528
84	0.288111
85	0.334972
86	0.271361
87	0.305667
88	0.270389
89	0.307722
90	0.314472
91	0.333306
92	0.324861
93	0.276861
94	0.318083
95	0.321111
96	0.342278
97	0.328444
98	0.371083
99	0.306722
100	0.300778
101	0.243472
102	0.302639
103	0.259083
104	0.257306
105	0.304611
106	0.321667
107	0.345639
108	0.253139
109	0.256917
110	0.299167
111	0.316861
112	0.296444
113	0.282583
114	0.277361
115	0.303944
116	0.332333
117	0.285333
118	0.309917
119	0.296694
120	0.265861
121	0.269472
122	0.280667
123	0.269528
124	0.290389
125	0.2835
126	0.319
127	0.264861
128	0.264917
129	0.300667
130	0.299639
131	0.268167
132	0.299917
133	0.286083
134	0.28575
135	0.307306
136	0.273472
137	0.279806
138	0.279333
139	0.328806
140	0.301972
141	0.290389
142	0.303361
143	0.285889
144	0.323667
145	0.346556
146	0.278833
147	0.320306
148	0.272833
149	0.325222
150	0.306528
151	0.312028
152	0.275333
153	0.274639
154	0.316333
155	0.305917
156	0.316667
157	0.296361
158	0.323306
159	0.277583
160	0.269667
161	0.275583
162	0.309028
163	0.299639
164	0.286722
165	0.314389
166	0.297194
167	0.302
168	0.312194
169	0.322833
170	0.251417
171	0.272333
172	0.275028
173	0.287472
174	0.309194
175	0.203639
176	0.295806
177	0.283778
178	0.344083
179	0.299417
180	0.346472
181	0.316
182	0.263806
183	0.263139
184	0.29225
185	0.291389
186	0.252778
187	0.306139
188	0.289861
189	0.319333
190	0.289444
191	0.309
192	0.292694
193	0.29425
194	0.270417
195	0.323639
196	0.281361
197	0.327861
198	0.279194
199	0.270694
200	0.333528
201	0.276639
202	0.310667
203	0.313167
204	0.325389
205	0.295833
206	0.285417
207	0.289722
208	0.305028
209	0.295
210	0.333917
211	0.28925
212	0.310111
213	0.288139
214	0.295083
215	0.262472
216	0.333972
217	0.258222
218	0.287944
219	0.292417
220	0.337083
221	0.285444
222	0.344111
223	0.267444
224	0.335528
225	0.336111
226	0.350889
227	0.310917
228	0.307639
229	0.295361
230	0.31875
231	0.334056
232	0.284028
233	0.305722
234	0.312028
235	0.284583
236	0.325722
237	0.284194
238	0.297417
239	0.276111
240	0.244972
241	0.230139
242	0.262972
243	0.302028
244	0.290194
245	0.314972
246	0.304056
247	0.278722
248	0.302417
249	0.28575
250	0.274778
251	0.321833
252	0.326139
253	0.301278
254	0.2645
255	0.329722
256	0.289194
257	0.318278
258	0.331222
259	0.311528
260	0.259194
261	0.262667
262	0.313861
263	0.326667
264	0.300667
265	0.32375
266	0.288889
267	0.272694
268	0.30075
269	0.316611
270	0.290417
271	0.293472
272	0.287639
273	0.326417
274	0.301639
275	0.292444
276	0.279167
277	0.300583
278	0.285889
279	0.259861
280	0.315528
281	0.299444
282	0.289361
283	0.330194
284	0.311
285	0.304278
286	0.327194
287	0.310917
288	0.32325
289	0.326667
290	0.289361
291	0.3185
292	0.29125
293	0.284056
294	0.276556
295	0.312028
296	0.318389
297	0.331194
298	0.295639
299	0.318667
