seed	Area
0	0.648167
1	0.671243
2	0.643354
3	0.700215
4	0.677042
5	0.622708
6	0.671201
7	0.568562
8	0.660792
9	0.664431
10	0.649035
11	0.74309
12	0.667201
13	0.696958
14	0.710833
15	0.620236
16	0.679674
17	0.665632
18	0.636757
19	0.716569
20	0.660361
21	0.690569
22	0.698361
23	0.71991
24	0.666882
25	0.708278
26	0.700854
27	0.61216
28	0.719049
29	0.699764
30	0.7575
31	0.678021
32	0.636486
33	0.647708
34	0.62225
35	0.690785
36	0.638993
37	0.674083
38	0.621368
39	0.719861
40	0.624646
41	0.730382
42	0.688174
43	0.715021
44	0.686201
45	0.703521
46	0.697479
47	0.667444
48	0.646375
49	0.678208
50	0.635806
51	0.629299
52	0.690438
53	0.594701
54	0.672382
55	0.666083
56	0.715174
57	0.683201
58	0.631306
59	0.675694
60	0.696556
61	0.703007
62	0.711028
63	0.671007
64	0.593465
65	0.71375
66	0.725868
67	0.695924
68	0.642646
69	0.643583
70	0.673618
71	0.670889
72	0.670347
73	0.584576
74	0.725597
75	0.668243
76	0.589187
77	0.711632
78	0.67384
79	0.715083
80	0.652042
81	0.669042
82	0.64809
83	0.73625
84	0.642278
85	0.653215
86	0.710667
87	0.669896
88	0.617729
89	0.664438
90	0.657813
91	0.677069
92	0.639021
93	0.61309
94	0.724104
95	0.624444
96	0.667667
97	0.717576
98	0.702736
99	0.681465
100	0.635299
101	0.704611
102	0.705278
103	0.604042
104	0.617125
105	0.627319
106	0.690847
107	0.666188
108	0.682667
109	0.671285
110	0.731951
111	0.662875
112	0.658375
113	0.660444
114	0.635528
115	0.700382
116	0.611375
117	0.695083
118	0.67816
119	0.677201
120	0.678014
121	0.701389
122	0.648903
123	0.730778
124	0.623188
125	0.654542
126	0.655306
127	0.706743
128	0.671944
129	0.689389
130	0.638264
131	0.677083
132	0.731007
133	0.654736
134	0.670333
135	0.65575
136	0.723049
137	0.659264
138	0.616514
139	0.652597
140	0.706896
141	0.687715
142	0.658937
143	0.716007
144	0.729236
145	0.671292
146	0.63966
147	0.704764
148	0.631806
149	0.653611
150	0.673
151	0.661486
152	0.710354
153	0.680069
154	0.692153
155	0.692646
156	0.661319
157	0.658174
158	0.684583
159	0.673868
160	0.698104
161	0.703028
162	0.686208
163	0.656153
164	0.64325
165	0.603021
166	0.752222
167	0.700847
168	0.642931
169	0.63325
170	0.710708
171	0.721396
172	0.699181
173	0.616563
174	0.635326
175	0.680507
176	0.637535
177	0.650757
178	0.603125
179	0.748458
180	0.674806
181	0.625479
182	0.720639
183	0.631785
184	0.608021
185	0.722812
186	0.586375
187	0.658208
188	0.671319
189	0.661486
190	0.594278
191	0.676174
192	0.700917
193	0.697583
194	0.66175
195	0.686347
196	0.690333
197	0.712167
198	0.644507
199	0.666785
200	0.684611
201	0.657944
202	0.659778
203	0.712132
204	0.695167
205	0.683632
206	0.715028
207	0.681688
208	0.631535
209	0.644507
210	0.64675
211	0.689361
212	0.637958
213	0.71866
214	0.750944
215	0.658104
216	0.62009
217	0.648146
218	0.647528
219	0.712806
220	0.651299
221	0.678799
222	0.66475
223	0.721903
224	0.6925
225	0.664736
226	0.650389
227	0.710951
228	0.746847
229	0.599944
230	0.586639
231	0.624271
232	0.615319
233	0.725146
234	0.639653
235	0.622257
236	0.697528
237	0.6025
238	0.677507
239	0.71375
240	0.659
241	0.664493
242	0.647826
243	0.65741
244	0.714618
245	0.733972
246	0.699861
247	0.648236
248	0.612097
249	0.719306
250	0.661535
251	0.714174
252	0.671556
253	0.652389
254	0.592306
255	0.673215
256	0.706618
257	0.697424
258	0.632917
259	0.690556
260	0.698215
261	0.673507
262	0.646597
263	0.694944
264	0.618486
265	0.676729
266	0.674625
267	0.640771
268	0.644896
269	0.652715
270	0.658062
271	0.732583
272	0.685132
273	0.622625
274	0.656
275	0.648326
276	0.627715
277	0.683639
278	0.64559
279	0.731361
280	0.615354
281	0.688299
282	0.619056
283	0.737264
284	0.699194
285	0.632639
286	0.640243
287	0.641444
288	0.727639
289	0.689472
290	0.67525
291	0.724854
292	0.663333
293	0.693701
294	0.633694
295	0.71959
296	0.700208
297	0.680514
298	0.705743
299	0.679882
300	0.655694
301	0.724792
302	0.663424
303	0.668639
304	0.645431
305	0.699375
306	0.729396
307	0.673375
308	0.673868
309	0.676243
310	0.682472
311	0.692354
312	0.661382
313	0.613507
314	0.649778
315	0.765576
316	0.708604
317	0.61434
318	0.684896
319	0.604437
320	0.636965
321	0.76909
322	0.697604
323	0.693924
324	0.735556
325	0.6595
326	0.706201
327	0.700944
328	0.624417
329	0.728972
330	0.671562
331	0.611431
332	0.707736
333	0.676021
334	0.64941
335	0.689118
336	0.669542
337	0.662083
338	0.650083
339	0.658014
340	0.688139
341	0.698951
342	0.638354
343	0.620444
344	0.658646
345	0.62366
346	0.644125
347	0.631951
348	0.584313
349	0.67991
350	0.745611
351	0.686035
352	0.725125
353	0.678076
354	0.756062
355	0.699111
356	0.706736
357	0.539965
358	0.711132
359	0.688396
360	0.735792
361	0.641556
362	0.601688
363	0.663764
364	0.725389
365	0.635007
366	0.687549
367	0.712132
368	0.689375
369	0.726042
370	0.671063
371	0.690111
372	0.636563
373	0.630278
374	0.640597
375	0.649014
376	0.640528
377	0.678937
378	0.724854
379	0.741257
380	0.597674
381	0.618444
382	0.714938
383	0.700854
384	0.650924
385	0.656132
386	0.637028
387	0.693854
388	0.721493
389	0.657757
390	0.680319
391	0.632306
392	0.575111
393	0.637611
394	0.610507
395	0.668847
396	0.685597
397	0.694826
398	0.720965
399	0.669889
400	0.692278
401	0.57566
402	0.701806
403	0.624313
404	0.701528
405	0.635854
406	0.637035
407	0.719576
408	0.670174
409	0.713014
410	0.71041
411	0.651542
412	0.614715
413	0.693639
414	0.713437
415	0.639979
416	0.674354
417	0.651181
418	0.687243
419	0.684854
420	0.720465
421	0.674174
422	0.730389
423	0.763181
424	0.67884
425	0.661972
426	0.688993
427	0.639375
428	0.645514
429	0.641986
430	0.633299
431	0.670507
432	0.680924
433	0.651701
434	0.621465
435	0.649958
436	0.652993
437	0.71716
438	0.617507
439	0.652931
440	0.631833
441	0.600556
442	0.652986
443	0.746174
444	0.627819
445	0.680146
446	0.693007
447	0.682361
448	0.682493
449	0.74659
450	0.637535
451	0.650438
452	0.706979
453	0.712604
454	0.720063
455	0.635208
456	0.662208
457	0.639938
458	0.675514
459	0.710951
460	0.699972
461	0.670354
462	0.656479
463	0.712597
464	0.683174
465	0.666431
466	0.630403
467	0.666792
468	0.753243
469	0.679396
470	0.6635
471	0.742125
472	0.668222
473	0.669674
474	0.641889
475	0.611729
476	0.690701
477	0.662361
478	0.654153
479	0.692201
480	0.666479
481	0.648188
482	0.657521
483	0.711063
484	0.733812
485	0.674417
486	0.65884
487	0.637396
488	0.659625
489	0.669104
490	0.653014
491	0.684736
492	0.663167
493	0.659632
494	0.708076
495	0.628563
496	0.654431
497	0.686174
498	0.65734
499	0.700111
500	0.694458
501	0.697021
502	0.670604
503	0.674097
504	0.688688
505	0.715882
506	0.686333
507	0.721757
508	0.624847
509	0.662396
510	0.693319
511	0.631118
512	0.61809
513	0.664667
514	0.661806
515	0.675778
516	0.589264
517	0.696597
518	0.672701
519	0.667736
520	0.682194
521	0.705319
522	0.667944
523	0.591889
524	0.661146
525	0.662944
526	0.566583
527	0.753104
528	0.614201
529	0.635708
530	0.706222
531	0.723868
532	0.637514
533	0.644486
534	0.666535
535	0.651806
536	0.738347
537	0.738903
538	0.714979
539	0.662646
540	0.641701
541	0.689889
542	0.652479
543	0.681257
544	0.658396
545	0.633715
546	0.690264
547	0.704493
548	0.66
549	0.705243
550	0.703007
551	0.70684
552	0.671833
553	0.632431
554	0.598451
555	0.68616
556	0.628437
557	0.684764
558	0.669632
559	0.668542
560	0.60459
561	0.669743
562	0.675896
563	0.599597
564	0.711431
565	0.665111
566	0.671465
567	0.741736
568	0.683125
569	0.691104
570	0.675924
571	0.727201
572	0.660424
573	0.681118
574	0.619986
575	0.658694
576	0.7065
577	0.708319
578	0.729396
579	0.696479
580	0.654806
581	0.633549
582	0.668049
583	0.684389
584	0.702208
585	0.650125
586	0.69941
587	0.700097
588	0.634118
589	0.699139
590	0.601049
591	0.700924
592	0.602437
593	0.709542
594	0.68359
595	0.64666
596	0.612437
597	0.674729
598	0.703868
599	0.690632
600	0.662667
601	0.627604
602	0.686083
603	0.694937
604	0.626611
605	0.692194
606	0.706924
607	0.650014
608	0.690646
609	0.611667
610	0.669896
611	0.730382
612	0.666375
613	0.735431
614	0.643972
615	0.696451
616	0.665458
617	0.568396
618	0.651299
619	0.658639
620	0.644049
621	0.650667
622	0.747736
623	0.705764
624	0.666854
625	0.692611
626	0.623
627	0.685569
628	0.607806
629	0.614271
630	0.681424
