seed	Volume
0	0.282878
1	0.298939
2	0.315898
3	0.258469
4	0.290837
5	0.262612
6	0.293
7	0.297143
8	0.294735
9	0.310449
10	0.310939
11	0.26151
12	0.304776
13	0.280816
14	0.330816
15	0.293531
16	0.250306
17	0.307673
18	0.322347
19	0.294571
20	0.244102
21	0.310388
22	0.305796
23	0.311429
24	0.29449
25	0.26749
26	0.290347
27	0.286224
28	0.314592
29	0.261673
30	0.280184
31	0.286327
32	0.286327
33	0.274796
34	0.301306
35	0.283531
36	0.311041
37	0.269633
38	0.274327
39	0.288714
40	0.286735
41	0.277755
42	0.312388
43	0.309694
44	0.297898
45	0.292857
46	0.313429
47	0.319143
48	0.292163
49	0.280245
50	0.286306
51	0.281245
52	0.29702
53	0.27151
54	0.332224
55	0.289551
56	0.24698
57	0.307041
58	0.305796
59	0.284857
60	0.333878
61	0.313122
62	0.285082
63	0.312163
64	0.305714
65	0.307673
66	0.342551
67	0.322796
68	0.278857
69	0.316245
70	0.285429
71	0.264
72	0.302041
73	0.331837
74	0.260122
75	0.306837
76	0.29951
77	0.261633
78	0.312347
79	0.30251
80	0.281796
81	0.256224
82	0.304306
83	0.335061
84	0.338449
85	0.277959
86	0.312184
87	0.311265
88	0.270592
89	0.270755
90	0.27502
91	0.305449
92	0.315857
93	0.285571
94	0.313184
95	0.302245
96	0.261122
97	0.293959
98	0.309102
99	0.283755
